query_id,query,pipeline,latency_seconds,precision@10,recall@10,mrr@10,ndcg@10,hits@10,first_relevant_rank
7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",Optimized Hybrid RAG,44.70443439999872,0.2,0.6666666666666666,0.2,0.3228087653971817,2,5.0
5080,Is there a standard or best practice way to handle money from an expiring UTMA account?,Naive Dense RAG,0.0381426999992982,0.0,0.0,0.0,0.0,0,
5080,Is there a standard or best practice way to handle money from an expiring UTMA account?,Optimized Hybrid RAG,32.98827230000097,0.0,0.0,0.0,0.0,0,
9329,Interactive Brokers: IOPTS and list of structured products,Naive Dense RAG,0.033803599999373546,0.1,0.5,1.0,0.6131471927654584,1,1.0
9329,Interactive Brokers: IOPTS and list of structured products,Optimized Hybrid RAG,37.23731079999925,0.1,0.5,1.0,0.6131471927654584,1,1.0
6479,Trading on exchanges or via brokerage companies?,Naive Dense RAG,0.03618569999889587,0.2,1.0,1.0,1.0,2,1.0
6479,Trading on exchanges or via brokerage companies?,Optimized Hybrid RAG,46.684134999999515,0.2,1.0,1.0,1.0,2,1.0
8513,Buy on dip when earnings fail?,Naive Dense RAG,0.041908800001692725,0.0,0.0,0.0,0.0,0,
8513,Buy on dip when earnings fail?,Optimized Hybrid RAG,32.49034860000029,0.0,0.0,0.0,0.0,0,
10109,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,Naive Dense RAG,0.032789900000352645,0.2,0.2857142857142857,1.0,0.3727892582642586,2,1.0
10109,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,Optimized Hybrid RAG,37.287734500001534,0.3,0.42857142857142855,1.0,0.53501781839665,3,1.0
4844,"How to read bond yield quotes? What do the time, coupon, price, yield, and time mean?",Naive Dense RAG,0.03790410000146949,0.2,1.0,1.0,0.8065735963827293,2,1.0
4844,"How to read bond yield quotes? What do the time, coupon, price, yield, and time mean?",Optimized Hybrid RAG,188.6634516999984,0.2,1.0,1.0,0.9197207891481876,2,1.0
8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,Naive Dense RAG,0.17646889999741688,0.2,1.0,1.0,1.0,2,1.0
8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,Optimized Hybrid RAG,72.6946377000022,0.2,1.0,1.0,0.8503449055347546,2,1.0
4823,"Close to retirement & we may move within 7 years. Should we re-finance our mortgage, or not?",Naive Dense RAG,0.0468163999976241,0.1,0.3333333333333333,0.25,0.20210734650054757,1,4.0
4823,"Close to retirement & we may move within 7 years. Should we re-finance our mortgage, or not?",Optimized Hybrid RAG,44.22194600000148,0.2,0.6666666666666666,1.0,0.7039180890341347,2,1.0
1085,How do disputed debts work on credit reports?,Naive Dense RAG,0.04814460000125109,0.1,0.5,0.125,0.19342640361727081,1,8.0
1085,How do disputed debts work on credit reports?,Optimized Hybrid RAG,82.33174739999959,0.0,0.0,0.0,0.0,0,
2388,Do financial advisors get better deals on mortgages?,Naive Dense RAG,0.03857589999824995,0.1,1.0,1.0,1.0,1,1.0
2388,Do financial advisors get better deals on mortgages?,Optimized Hybrid RAG,75.76523160000215,0.1,1.0,1.0,1.0,1,1.0
